article_id,title,url,relevance_score,score_a_1500,score_b_4000,category,content_chars,b_higher_than_a,error_a,error_b
7668076771787293238,促进海内外中华儿女团结奋斗,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzcwNTA3XzQ2MTAwMV8xNzg1MzYyMDAz,25.0,0,0,internal_positive,1949,False,,
7667505634069283355,荣耀携手阿莱打造全球首款随身电影机：不止于参数 更在于表达,https://m.gmw.cn/toutiao/2026-07/28/content_38913240.htm,20.0,0,10,external_positive,1151,True,,
tencent:20260807A0CYA000,通辽市第四届西辽河文化节主题晚会精彩上演,https://view.inews.qq.com/a/20260807A0CYA000,30.0,5,0,external_positive,696,False,,
7671122986002317830,走，运动去！,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjYxODE4XzE4MTQ2Nl8xNzg2MDY4NjY1,20.0,5,0,external_positive,395,False,,
7670437950953390627,3名男子恶意摆拍“外卖员朝外卖吐口水”，长沙警方：3人已被行拘，违规账号被关停,https://m.gmw.cn/toutiao/2026-08/05/content_1304543464.htm,20.0,0,0,internal_positive,1784,False,,
7666355980086624802,当70万台无人机飞入田野,https://news.bjd.com.cn/2026/07/25/11885457.shtml,30.0,0,0,internal_positive,1483,False,,
7668133355183030825,距今2300年！宁夏固原发现战国时期粮食酒遗存,https://m.gmw.cn/toutiao/2026-07/30/content_1304540188.htm,30.0,0,0,internal_positive,807,False,,
7666635213119767092,一位提出“贫穷建筑”的建筑师与她的中国首展,https://m.thepaper.cn/newsDetail_forward_33656993?from=toutiao,20.0,0,0,external_positive,5261,False,,
7668826628159570467,助力老挝打造“东南亚蓄电池”,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzcxOTY0XzEwMDJfMTc4NTUzNTU2Nw==,20.0,0,0,internal_positive,2270,False,,
7671133138382537262,第十一届“创客中国”深圳市中小企业创新创业大赛举行,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjYxOTUwXzIwMjg0Nl8xNzg2MDczMjIw,30.0,5,5,external_positive,1085,False,,
chinadaily:/a/202608/05/WS6a72d4c4a310d709c2fc1a04,从漫天黄沙到满眼青绿的生态重生——内蒙古筑牢我国北方重要生态安全屏障实践探析,https://cn.chinadaily.com.cn/a/202608/05/WS6a72d4c4a310d709c2fc1a04.html,30.0,0,5,internal_positive,3309,True,,
7666241995093836314,黑龙江省启动HPV疫苗接种专项攻坚行动,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjQ5NTk0XzIyMDAwNV8xNzg0OTM0OTY2,35.0,0,0,internal_positive,788,False,,
